transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,revenue,year,month,quarter
19,786,J***,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Je***@outlook.com,******5116,successful,4160.0,2025,September,3
20,576,A***,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,An***@yahoo.com,******3539,successful,6800.0,2025,July,3
21,256,N***,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Ni***@gmail.com,******1732,successful,185250.0,2025,December,4
22,737,K***,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,Ki***@gmail.com,******2093,successful,156000.0,2025,March,1
23,104,A***,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,Am***@yahoo.com,******9548,successful,22500.0,2026,April,2
24,799,S***,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,St***@gmail.com,******0744,successful,33750.0,2025,May,2
25,249,A***,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Al***@gmail.com,******5109,successful,49000.0,2025,August,3
26,149,A***,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,As***@outlook.com,******6443,successful,76000.0,2026,January,1
27,927,B***,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,Br***@gmail.com,******0514,successful,180000.0,2025,November,4
28,868,T***,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Ti***@gmail.com,******8386,successful,35000.0,2025,November,4
29,1,K***,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Ka***@yahoo.com,******6363,successful,91000.0,2025,June,2
30,980,A***,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Al***@gmail.com,******3841,successful,380000.0,2025,July,3
31,455,M***,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,Mo***@yahoo.com,******4087,successful,140000.0,2025,June,2
32,367,J***,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Jo***@outlook.com,******3716,successful,108000.0,2025,November,4
34,968,K***,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,Ke***@yahoo.com,******4512,successful,170000.0,2025,November,4
35,390,E***,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Er***@gmail.com,******7025,successful,81000.0,2025,May,2
36,528,K***,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Ke***@gmail.com,******0493,successful,126000.0,2025,July,3
37,46,M***,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Ma***@gmail.com,******2449,successful,3510.0,2026,January,1
38,437,C***,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,Ca***@outlook.com,******2206,successful,6000.0,2026,January,1
39,234,K***,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Kr***@outlook.com,******3410,successful,7200.0,2025,December,4
40,391,C***,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Ca***@gmail.com,******7305,successful,1819.9999999999998,2026,August,3
41,743,D***,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,Do***@yahoo.com,******3600,successful,3510.0,2025,December,4
42,17,D***,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,Du***@outlook.com,******1149,successful,62999.99999999999,2025,July,3
43,861,T***,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,Ti***@outlook.com,******1491,successful,135000.0,2025,May,2
44,213,N***,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,Na***@yahoo.com,******7242,successful,18000.0,2025,May,2
45,220,M***,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,Ma***@gmail.com,******5210,successful,27200.0,2025,November,4
46,463,K***,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,Ke***@gmail.com,******4173,successful,36000.0,2025,April,2
47,429,M***,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,Mi***@gmail.com,******3250,successful,900000.0,2025,August,3
48,222,E***,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,Em***@gmail.com,******8256,successful,11250.0,2025,July,3
49,971,L***,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,La***@gmail.com,******5114,successful,5200.0,2025,July,3
50,670,F***,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,Fe***@yahoo.com,******4911,successful,340000.0,2025,May,2
51,485,J***,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,Ja***@yahoo.com,******7157,successful,90000.0,2025,July,3
52,883,C***,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,Ch***@yahoo.com,******7922,successful,4800.0,2025,July,3
53,202,A***,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,Am***@yahoo.com,******7299,successful,1105.0,2025,November,4
54,817,N***,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Ni***@gmail.com,******9866,successful,112500.0,2025,July,3
55,801,B***,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Br***@gmail.com,******6583,successful,28000.0,2025,October,4
56,284,E***,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,Er***@gmail.com,******8578,successful,9600.0,2026,February,1
57,72,M***,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Mi***@gmail.com,******0077,successful,180000.0,2025,December,4
57,72,M***,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,Mi***@gmail.com,******0077,failed,180000.0,2025,December,4
58,873,T***,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,Tr***@outlook.com,******8034,successful,637500.0,2025,October,4
59,854,D***,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,De***@yahoo.com,******2116,successful,38250.0,2025,July,3
60,874,S***,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,Sa***@gmail.com,******3067,successful,300000.0,2025,May,2
61,507,T***,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,Th***@outlook.com,******2264,successful,11200.0,2025,December,4
62,736,L***,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Li***@gmail.com,******6221,successful,30400.0,2025,June,2
63,182,K***,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,Ka***@outlook.com,******9367,successful,162500.0,2026,February,1
64,341,C***,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,Co***@outlook.com,******9155,successful,121500.0,2025,December,4
65,937,N***,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,Ni***@yahoo.com,******9075,successful,22500.0,2025,April,2
66,164,S***,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,Sh***@gmail.com,******4854,successful,11200.0,2025,April,2
67,188,A***,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,Al***@gmail.com,******7624,successful,136500.0,2026,April,2
68,603,S***,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,Sh***@gmail.com,******2575,successful,27200.0,2025,September,3
69,656,A***,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,Ad***@yahoo.com,******8407,successful,7200.0,2025,August,3
70,687,R***,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,Ro***@yahoo.com,******9773,successful,40500.0,2026,April,2
71,186,D***,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Da***@gmail.com,******0201,successful,62999.99999999999,2026,January,1
72,865,J***,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,Je***@outlook.com,******0460,successful,56000.0,2026,April,2
73,523,E***,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,Em***@gmail.com,******9627,successful,900000.0,2026,March,1
75,729,E***,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,El***@outlook.com,******9121,successful,13500.0,2025,August,3
78,874,S***,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Sa***@gmail.com,******3067,successful,28800.0,2025,June,2
79,977,G***,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,Gl***@yahoo.com,******0862,successful,244999.99999999997,2025,May,2
80,735,E***,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,El***@yahoo.com,******1868,successful,71250.0,2025,June,2
81,704,S***,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,Su***@outlook.com,******6032,successful,187500.0,2026,April,2
82,578,K***,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kr***@yahoo.com,******9323,successful,600000.0,2025,June,2
82,578,K***,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kr***@yahoo.com,******9323,failed,600000.0,2025,June,2
83,11,J***,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,Ja***@gmail.com,******0360,successful,108000.0,2025,June,2
84,379,A***,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,An***@yahoo.com,******0361,successful,180000.0,2025,November,4
84,379,A***,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,An***@yahoo.com,******0361,failed,180000.0,2025,November,4
85,108,A***,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,An***@yahoo.com,******8527,successful,1125000.0,2025,August,3
86,427,K***,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,Ke***@outlook.com,******6970,successful,4940.0,2026,January,1
87,454,L***,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,La***@yahoo.com,******5336,successful,59500.0,2025,November,4
88,975,J***,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,Ja***@outlook.com,******0490,successful,108000.0,2026,February,1
89,992,W***,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,Wi***@gmail.com,******0906,successful,212500.0,2025,December,4
90,439,B***,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,Bi***@outlook.com,******7874,successful,126000.0,2026,March,1
91,645,J***,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,Jo***@outlook.com,******6788,successful,42000.0,2026,January,1
92,728,L***,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,Li***@gmail.com,******3795,successful,14250.0,2026,March,1
93,403,T***,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,Ta***@gmail.com,******9832,successful,297500.0,2025,December,4
94,50,S***,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,St***@gmail.com,******2385,successful,24000.0,2025,February,1
95,478,C***,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,Cr***@outlook.com,******1187,successful,30000.0,2025,July,3
96,153,S***,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,St***@outlook.com,******8701,successful,38250.0,2025,December,4
98,372,B***,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,Br***@gmail.com,******1702,successful,191250.0,2025,October,4
99,753,K***,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,Ke***@gmail.com,******2869,successful,178500.0,2025,October,4
100,864,C***,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,Ca***@yahoo.com,******9477,successful,55250.0,2025,April,2
101,645,J***,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,Jo***@outlook.com,******6788,successful,52500.0,2026,February,1
102,1000,S***,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,Sh***@gmail.com,******6701,successful,3315.0,2025,May,2
103,909,J***,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,Ja***@gmail.com,******2895,successful,87750.0,2025,September,3
104,788,W***,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,Wi***@gmail.com,******5393,successful,85000.0,2025,June,2
105,713,J***,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,Ja***@gmail.com,******8007,successful,47500.0,2026,February,1
106,54,J***,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,Je***@outlook.com,******1854,successful,85500.0,2026,February,1
107,89,J***,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,Jo***@yahoo.com,******8548,successful,208000.0,2025,March,1
108,724,K***,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,Ki***@gmail.com,******1493,successful,3380.0,2025,June,2
109,128,E***,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,Et***@yahoo.com,******4264,successful,19200.0,2026,February,1
110,264,K***,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,Ke***@gmail.com,******6731,successful,80000.0,2025,August,3
111,637,K***,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,Ke***@yahoo.com,******5430,successful,360000.0,2026,February,1
112,381,M***,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,Me***@gmail.com,******4306,successful,59500.0,2025,September,3
113,286,C***,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,Ca***@gmail.com,******0019,successful,36000.0,2026,January,1
114,484,E***,101,250000.0,Laptop,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,Er***@gmail.com,******8733,successful,562500.0,2025,April,2
115,270,K***,107,50000.0,Dining Table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,Ka***@yahoo.com,******7908,successful,45000.0,2025,December,4
116,756,J***,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,Ju***@yahoo.com,******4818,successful,4160.0,2025,November,4
117,937,N***,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,Ni***@yahoo.com,******9075,successful,130000.0,2025,July,3
118,206,K***,105,45000.0,Tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,Ke***@outlook.com,******5408,successful,27000.0,2025,April,2
119,822,C***,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,Ch***@yahoo.com,******6621,successful,375000.0,2026,February,1
120,618,A***,110,45000.0,Microwave,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,Al***@yahoo.com,******3305,successful,168750.0,2025,September,3
121,175,S***,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,Sh***@gmail.com,******1133,successful,48750.0,2025,May,2
122,549,J***,102,70000.0,Phone,Electronics,online,Bangalore,2025-05-17,4,Cash,0.15,Ja***@gmail.com,******6590,successful,238000.0,2025,May,2
123,387,K***,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-06-30,5,UPI,0.3,Ke***@outlook.com,******3283,successful,157500.0,2025,June,2
124,592,T***,104,8000.0,Shoes,Clothing,offline,Delhi,2026-03-04,3,Card,0.35,Ti***@gmail.com,******8501,successful,15600.0,2026,March,1
125,580,M***,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-10-13,2,Card,0.25,Me***@yahoo.com,******7146,successful,75000.0,2025,October,4
126,17,D***,101,250000.0,Laptop,Electronics,online,Bangalore,2026-02-25,1,Card,0.15,Du***@outlook.com,******1149,successful,212500.0,2026,February,1
126,17,D***,101,250000.0,Laptop,Electronics,online,Bangalore,2026-02-25,1,Card,0.15,Du***@outlook.com,******1149,failed,212500.0,2026,February,1
127,115,L***,101,250000.0,Laptop,Electronics,online,Chennai,2026-03-24,1,UPI,0.4,Li***@gmail.com,******1568,successful,150000.0,2026,March,1
127,115,L***,101,250000.0,Laptop,Electronics,online,Chennai,2026-03-24,1,UPI,0.4,Li***@gmail.com,******1568,failed,150000.0,2026,March,1
128,710,A***,101,250000.0,Laptop,Electronics,offline,Mumbai,2025-07-22,3,Cash,0.3,Ap***@gmail.com,******1176,successful,525000.0,2025,July,3
129,150,D***,104,8000.0,Shoes,Clothing,offline,Mumbai,2026-01-17,5,Cash,0.4,Do***@gmail.com,******9420,successful,24000.0,2026,January,1
130,149,A***,103,1300.0,Shirt,Clothing,online,Chennai,2025-11-23,1,Card,0.15,As***@outlook.com,******6443,successful,1105.0,2025,November,4
130,149,A***,103,1300.0,Shirt,Clothing,online,Chennai,2025-11-23,1,Card,0.15,As***@outlook.com,******6443,failed,1105.0,2025,November,4
131,274,J***,107,50000.0,Dining Table,Furniture,online,Bangalore,2026-01-06,1,UPI,0.15,Jo***@gmail.com,******9206,successful,42500.0,2026,January,1
132,173,J***,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-06-07,2,UPI,0.4,Jo***@outlook.com,******7378,successful,78000.0,2025,June,2
134,702,R***,108,15000.0,Mixer Grinder,Home Appliances,online,Delhi,2025-09-30,1,UPI,0.05,Ro***@gmail.com,******6138,successful,14250.0,2025,September,3
135,362,D***,101,250000.0,Laptop,Electronics,offline,Bangalore,2025-11-25,5,Cash,0.2,Da***@yahoo.com,******9722,successful,1000000.0,2025,November,4
136,863,T***,101,250000.0,Laptop,Electronics,online,Bangalore,2025-05-24,1,Card,0.15,Tr***@gmail.com,******4457,successful,212500.0,2025,May,2
137,38,L***,103,1300.0,Shirt,Clothing,online,Bangalore,2026-02-08,4,Card,0.05,La***@gmail.com,******7405,successful,4940.0,2026,February,1
138,432,C***,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-02-22,4,NetBanking,0.4,Ch***@yahoo.com,******1774,successful,3120.0,2026,February,1
139,907,J***,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-02-17,4,NetBanking,0.05,Je***@gmail.com,******4650,successful,247000.0,2026,February,1
140,400,B***,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-09,4,NetBanking,0.1,Br***@yahoo.com,******8393,successful,900000.0,2025,June,2
141,180,C***,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-07,4,Card,0.1,Ch***@yahoo.com,******6560,successful,4680.0,2025,November,4
142,137,K***,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-09-26,1,Cash,0.15,Ka***@yahoo.com,******6544,successful,42500.0,2025,September,3
143,313,M***,107,50000.0,Dining Table,Furniture,offline,Delhi,2026-12-04,3,UPI,0.35,Ma***@outlook.com,******2640,successful,97500.0,2026,December,4
144,718,R***,103,1300.0,Shirt,Clothing,online,Delhi,2026-03-21,2,Card,0.1,Re***@outlook.com,******1168,successful,2340.0,2026,March,1
145,975,J***,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2026-01-12,3,Card,0.1,Ja***@outlook.com,******0490,successful,175500.0,2026,January,1
146,311,J***,103,1300.0,Shirt,Clothing,offline,Bangalore,2025-10-29,2,NetBanking,0.1,Ju***@yahoo.com,******7160,successful,2340.0,2025,October,4
147,111,A***,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-09-08,4,Card,0.35,Al***@gmail.com,******2386,successful,130000.0,2025,September,3
148,139,M***,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-07-09,3,NetBanking,0.25,Me***@outlook.com,******2133,successful,18000.0,2025,July,3
149,644,J***,102,70000.0,Phone,Electronics,offline,Delhi,2026-04-04,4,Card,0.2,Jo***@gmail.com,******7481,successful,224000.0,2026,April,2
150,917,A***,105,45000.0,Tv,Electronics,online,Hyderabad,2025-04-11,2,Cash,0.4,Al***@gmail.com,******3519,successful,54000.0,2025,April,2
151,294,J***,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-04-01,1,NetBanking,0.4,Ja***@gmail.com,******7809,successful,150000.0,2026,April,2
152,171,M***,105,45000.0,Tv,Electronics,online,Hyderabad,2025-06-26,1,NetBanking,0.3,Mi***@gmail.com,******4681,successful,31499.999999999996,2025,June,2
153,1,K***,108,15000.0,Mixer Grinder,Home Appliances,offline,Hyderabad,2026-04-10,3,NetBanking,0.15,Ka***@yahoo.com,******6363,successful,38250.0,2026,April,2
154,835,J***,102,70000.0,Phone,Electronics,online,Delhi,2026-01-31,4,UPI,0.3,Ju***@outlook.com,******2580,successful,196000.0,2026,January,1
155,363,L***,105,45000.0,Tv,Electronics,online,Delhi,2025-06-07,3,Card,0.1,Le***@gmail.com,******0472,successful,121500.0,2025,June,2
156,334,B***,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-05-11,5,Card,0.3,Br***@gmail.com,******1783,successful,227500.0,2025,May,2
157,39,M***,102,70000.0,Phone,Electronics,online,Hyderabad,2026-01-03,1,UPI,0.25,Me***@gmail.com,******0686,successful,52500.0,2026,January,1
158,892,L***,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2026-02-17,4,Card,0.15,Lo***@yahoo.com,******0803,successful,153000.0,2026,February,1
159,570,D***,103,1300.0,Shirt,Clothing,offline,Chennai,2025-05-08,1,Cash,0.2,Do***@gmail.com,******0219,successful,1040.0,2025,May,2
160,152,L***,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-06-06,3,Cash,0.15,Le***@gmail.com,******3306,successful,165750.0,2025,June,2
161,944,J***,104,8000.0,Shoes,Clothing,offline,Delhi,2025-08-29,3,Cash,0.1,Ju***@yahoo.com,******0779,successful,21600.0,2025,August,3
162,197,G***,103,1300.0,Shirt,Clothing,online,Mumbai,2025-11-15,5,NetBanking,0.25,Ga***@gmail.com,******4137,successful,4875.0,2025,November,4
163,256,N***,104,8000.0,Shoes,Clothing,offline,Chennai,2025-10-08,2,NetBanking,0.15,Ni***@gmail.com,******1732,successful,13600.0,2025,October,4
164,993,J***,109,65000.0,Refrigerator,Home Appliances,online,Bangalore,2025-04-21,2,Card,0.2,Ju***@outlook.com,******9325,successful,104000.0,2025,April,2
165,525,L***,106,80000.0,Sofa,Furniture,offline,Bangalore,2025-08-09,1,Cash,0.05,La***@gmail.com,******1400,successful,76000.0,2025,August,3
166,976,P***,101,250000.0,Laptop,Electronics,offline,Chennai,2025-11-13,5,UPI,0.25,Pa***@gmail.com,******1725,successful,937500.0,2025,November,4
167,820,M***,103,1300.0,Shirt,Clothing,online,Delhi,2026-03-09,3,Card,0.2,Ma***@yahoo.com,******9201,successful,3120.0,2026,March,1
168,92,K***,101,250000.0,Laptop,Electronics,offline,Chennai,2025-06-03,5,Card,0.25,Ke***@yahoo.com,******9379,successful,937500.0,2025,June,2
169,721,R***,102,70000.0,Phone,Electronics,online,Mumbai,2025-10-31,5,Cash,0.35,Ro***@yahoo.com,******1453,successful,227500.0,2025,October,4
170,893,T***,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-04-29,4,UPI,0.2,Ta***@outlook.com,******5386,successful,144000.0,2025,April,2
171,871,J***,102,70000.0,Phone,Electronics,online,Chennai,2026-01-20,3,UPI,0.2,Jo***@gmail.com,******5629,successful,168000.0,2026,January,1
